song_id,artist,title,likes,comments,total_plays,mood,soundcloud_url, youtube_url
1,Brandon Jonak & Pep.B,Brandon Jonak & Pep.B - Where Do I Go,379,41,72600,In-Love,https://soundcloud.com/best_no_copyright_music/where-do-i-go-ft-ezra-james?in=vendora-music/sets/no-copyright-songs,https://www.youtube.com/watch?v=Vrd8uDWRmx0
2,Jingle Punks,Jingle Punks - Skull Fire,42,2,6234,Happy,https://soundcloud.com/user-845269494/jingle-punks-skull-fire-no-copyright-music,https://www.youtube.com/watch?v=OtRQeYvrIU0
3,Lord Of The Rings,Lord Of The Rings - Hobbit Theme,136,11,31300,Happy,https://soundcloud.com/best_no_copyright_music/lord-of-the-rings-hobbit-theme-gfm-trap-remix-feat-justin-stone,https://www.youtube.com/watch?v=OtRQeYvrIU0
4,Jo Cohen & Sex Whales,Jo Cohen & Sex Whales - Run Away (feat. Lusil),136,11,31300,Happy,https://www.youtube.com/watch?v=OtRQeYvrIU0,https://www.youtube.com/watch?v=wHHSN6tdeZI
5,Klave,Klave - Realer Than Love (feat. Francis),367,28,50600,In-Love,https://soundcloud.com/best_no_copyright_music/klave-realer-than-love-feat-francis,https://www.youtube.com/watch?v=MZ5bl5ipjKs
6,Sad Piano Ambient,Sad Piano Ambient - FREE Background Music,273,13,46500,Sad,https://soundcloud.com/ashamaluevmusic/sad-piano-ambient,https://www.youtube.com/watch?v=HI7egq3SnIA
7,Whales & Ggnoaa,Whales & Ggnoaa - Paranoia,21,1,2641,Confident-sassy,https://soundcloud.com/best_no_copyright_music/whales-ggnoaa-paranoia,https://www.youtube.com/watch?v=y_oYnDqYPtw
8,REGGAE MUSIC,REGGAE MUSIC - Hip Hop Upbeat Anticipation,16,2,1750,Confident-sassy,https://soundcloud.com/user-458397066/reggae-music-hip-hop-upbeat-anticipation-royalty-free-content-no-copyright-stock-background-cielo-1,https://www.youtube.com/watch?v=AqD56kpet-E
9,Otis McDonald,Otis McDonald - TREAT ME THIS WAY,13,1,993,Confident-sassy,https://soundcloud.com/user-458397066/cinematic-music-hip-hop-showdown-upbeat-royalty-free-content-no-copyright-treat-me-this-way,https://www.youtube.com/watch?v=SP8pbfIhjtQ
10,TASTE HONEY,TASTE HONEY - CHILL HIP HOP INSTRUMENTAL,120,7,4316,In-Love,https://soundcloud.com/fielderbeats/taste-honey-chill-hip-hop-instrumental-free-download-no-copyright,https://www.youtube.com/watch?v=u1VzCulhviI
11,FEELING GOOD,FEELING GOOD - SUMMER VIBES HIP HOP INSTRUMENTAL,88,6,3376,Peaceful,https://soundcloud.com/fielderbeats/feeling-good-summer-vibes-hip-hop-instrumental-free-download-no-copyright,https://www.youtube.com/watch?v=6IxT8_8T4P4
12,Epic Hip Hop,Epic Hip Hop - Cool Cinematic & Gaming Background Music Instrumental,124,5,3490,https://soundcloud.com/ashamaluevmusic/epic-hip-hop,https://www.youtube.com/watch?v=t0YBFBDM4Cg
13,Manana es Mejor,Manana es Mejor - Flow Latino - Hip Hop Instrumental,77,4,4608,Confident-sassy,https://soundcloud.com/zigzagbeats/manana-es-mejor-flow-latino-hip-hop-instrumental-free-no-copyright,https://www.youtube.com/watch?v=YI13UPagCa8
14,Goblins From Mars,Goblins From Mars - Enough,698,42,102000,Confident-sassy,https://soundcloud.com/best_no_copyright_music/goblins-from-mars-enough,https://www.youtube.com/watch?v=A5GOUQ9l66g
15,Goblins From Mars,Goblins From Mars - Somewhere,187,5,43600,Angry,https://soundcloud.com/best_no_copyright_music/goblins-from-mars-ft-patrick-drowie-somewhere,https://www.youtube.com/watch?v=2JcH7X8JtNY
16,Desmeon,Desmeon - Undone,149,2,43300,Sad,https://soundcloud.com/best_no_copyright_music/desmeon-undone-feat-steklo,https://www.youtube.com/watch?v=0E6KXgWuaHo







